tour_name,duration,highlights,cultural_features,best_time,local_tips,category,price_range
"Tokyo Classic Tour",5,"Shibuya Crossing, Tokyo Tower, Meiji Shrine, Harajuku, Akihabara, Asakusa","Trải nghiệm văn hóa hiện đại, viếng đền Shinto, khám phá văn hóa pop","Tháng 3-4 (hoa anh đào), Tháng 10-11 (thời tiết mát)","Thử món monjayaki tại khu Tsukishima, tham quan chợ cá nhỏ Tsukiji Outer Market thay vì Toyosu đông đúc","city,shopping,modern",$$
"Kyoto Cultural Immersion",4,"Fushimi Inari, Kiyomizu-dera, Arashiyama Bamboo Grove, Gion, Kinkaku-ji","Geisha, trà đạo, đền chùa, kiến trúc truyền thống","Tháng 11 (lá đỏ), Tháng 4 (hoa anh đào)","Thăm đền Kurama ít người biết, thưởng thức kaiseki tại Pontocho, dậy sớm để chụp ảnh Fushimi Inari","culture,temples,traditional",$$
"Osaka-Nara Discovery",3,"Dotonbori, Osaka Castle, Nara Park, Todai-ji, Kuromon Market","Ẩm thực đường phố, lịch sử samurai, hươu hoang dã","Quanh năm, tránh mùa mưa (tháng 6)","Thử cửa hàng takoyaki ở khu phố Tenma thay vì Dotonbori, café ít người biết ở Nakazakicho","food,history,urban",$$
"Hokkaido Winter Wonderland",6,"Sapporo Snow Festival, Otaru Snow Light Path, trượt tuyết tại Niseko, suối nước nóng Noboribetsu","Lễ hội tuyết, văn hóa Ainu bản địa, ẩm thực Hokkaido","Tháng 1-2 (lễ hội tuyết)","Ghé thăm làng Ainu ở Shiraoi, thưởng thức hải sản tươi sống tại chợ Nijo, trải nghiệm onsen ngoài trời khi tuyết rơi","winter,onsen,festival",$$$$
"Autumn Leaves Highway",7,"Nikko, Kamakura, Hakone, Mt.Fuji, thung lũng lá đỏ Korankei","Văn hóa samurai, đền Toshogu, ngắm núi Phú Sĩ","Tháng 10-11 (lá đỏ)","Dậy sớm ngắm bình minh ở Chureito Pagoda (view Fuji), onsen riêng tại Hakone, đi tàu hoả cổ điển tại Hakone","nature,autumn,onsen",$$$
"Cherry Blossom Explorer",8,"Công viên Ueno, Meguro River, Hirosaki Castle, Mt. Yoshino, Philosopher's Path (Kyoto)","Lễ hội Hanami, picnic dưới hoa anh đào, chụp ảnh","Cuối tháng 3 - giữa tháng 4","Ghé thăm công viên Shinjuku Gyoen ở Tokyo và Maruyama Park ở Kyoto vào buổi tối để ngắm hoa anh đào được thắp sáng (yozakura)","spring,sakura,photography",$$$
"Hidden Japan: Rural Treasures",6,"Shirakawa-go, Takayama, Kanazawa, Ine Fishing Village, Koyasan","Nhà cổ gassho-zukuri, làng chài truyền thống, tu viện Phật giáo","Tháng 4-5, Tháng 9-10","Nghỉ đêm tại nhà dân ở Shirakawa-go, sớm mai ngắm sương mù, tham gia lễ tụng kinh buổi sáng tại Koyasan","rural,traditional,offbeat",$$$
"Okinawa Beach Paradise",5,"Bãi biển Emerald, đảo Ishigaki, Thủy cung Churaumi, lâu đài Shuri, làng Ryukyu","Văn hóa Ryukyu độc đáo, ẩm thực hải sản, lặn biển","Tháng 3-5, Tháng 9-10","Thuê xe khám phá bán đảo Katsuren ít du khách, thử món đặc sản taco rice, đi thuyền đáy kính ở Kabira Bay","beach,island,summer",$$$$
"Anime & Pop Culture Tour",4,"Akihabara, Nakano Broadway, Ghibli Museum, Pokemon Center, Harajuku","Văn hóa otaku, cosplay, manga, anime","Quanh năm","Ghé thăm quán cafe nhân vật (character cafe) ở Ikebukuro, săn tìm đồ vintage ở Nakano Broadway tầng 3-4, check-in các địa điểm trong anime nổi tiếng","anime,shopping,youth",$$
"Onsen & Wellness Retreat",5,"Suối nước nóng Kusatsu, Hakone, Beppu, Kinosaki","Ryokan truyền thống, onsen, spa, ẩm thực kaiseki","Tháng 10-3 (mùa lạnh)","Trải nghiệm suối nước nóng ngoài trời (rotenburo) khi tuyết rơi ở Ginzan Onsen, đặt ryokan có bồn tắm riêng trong phòng","onsen,ryokan,relaxation",$$$$$
"Hiroshima & Shikoku Pilgrimage",6,"Peace Memorial Park, Miyajima Island, Itsukushima Shrine, Đền Dogo Onsen, Cầu Shimanami Kaido","Đường hành hương 88 đền, lịch sử hòa bình, đảo thiêng","Tháng 4-5, Tháng 9-10","Đạp xe qua cầu Shimanami Kaido, thử món okonomiyaki phong cách Hiroshima, ngủ đêm tại Miyajima khi du khách đã rời đi","history,island,pilgrimage",$$$
